Number,Before,After,Inserted,Time
1,44068395,44055094,50,0.016553
2,44055094,44041782,100,0.016647
3,44041782,44029494,150,0.016042
4,44029494,44016182,200,0.015469
5,44016182,44002870,250,0.015321
6,44002870,43990582,300,0.0161
7,43990582,43977270,350,0.018891
8,43977270,43964982,400,0.015363
9,43964982,43951670,450,0.017547
10,43951670,43938358,500,0.016094
11,43938358,43926070,550,0.017119
12,43926070,43912758,600,0.016188
13,43912758,43900470,650,0.016614
14,43900470,43887158,700,0.016509
15,43887158,43873846,750,0.015115
16,43873846,43861558,800,0.015363
17,43861558,43848246,850,0.015043
18,43848246,43835958,900,0.014835
19,43835958,43822646,950,0.017156
20,43822646,43810358,1000,0.016009
21,43810358,43797046,1050,0.016878
22,43797046,43783734,1100,0.020677
23,43783734,43771446,1150,0.017926
24,43771446,43758134,1200,0.016622
25,43758134,43745846,1250,0.016268
26,43745846,43732534,1300,0.017295
27,43732534,43719222,1350,0.020014
28,43719222,43706934,1400,0.017892
29,43706934,43693622,1450,0.015297
30,43693622,43681334,1500,0.015669
31,43681334,43668022,1550,0.016459
32,43668022,43654710,1600,0.017279
33,43654710,43642422,1650,0.016521
34,43642422,43629110,1700,0.017786
35,43629110,43616822,1750,0.01625
36,43616822,43603510,1800,0.015888
37,43603510,43590198,1850,0.015504
38,43590198,43577910,1900,0.016506
39,43577910,43564598,1950,0.016235
40,43564598,43552310,2000,0.017677
41,43552310,43538998,2050,0.018007
42,43538998,43525686,2100,0.017249
43,43525686,43513398,2150,0.018066
44,43513398,43500086,2200,0.016768
45,43500086,43487798,2250,0.017298
46,43487798,43474486,2300,0.016475
47,43474486,43461174,2350,0.01663
48,43461174,43448886,2400,0.01616
49,43448886,43435574,2450,0.017257
50,43435574,43423286,2500,0.017571
51,43423286,43409974,2550,0.01724
52,43409974,43396662,2600,0.015819
53,43396662,43384374,2650,0.016234
54,43384374,43371062,2700,0.015945
55,43371062,43358774,2750,0.015391
56,43358774,43345462,2800,0.015121
57,43345462,43332150,2850,0.015022
58,43332150,43319862,2900,0.015151
59,43319862,43306550,2950,0.015654
60,43306550,43294262,3000,0.016042
61,43294262,43280950,3050,0.01667
62,43280950,43267638,3100,0.016183
63,43267638,43255350,3150,0.017611
64,43255350,43242038,3200,0.015138
65,43242038,43229750,3250,0.017349
66,43229750,43216438,3300,0.01731
67,43216438,43204150,3350,0.016451
68,43204150,43190838,3400,0.01539
69,43190838,43177526,3450,0.016743
70,43177526,43165238,3500,0.015049
71,43165238,43151926,3550,0.017391
72,43151926,43139638,3600,0.015553
73,43139638,43126326,3650,0.016878
74,43126326,43113014,3700,0.016514
75,43113014,43100726,3750,0.016141
76,43100726,43087414,3800,0.016098
77,43087414,43075126,3850,0.015972
78,43075126,43061814,3900,0.01628
79,43061814,43048502,3950,0.017098
80,43048502,43036214,4000,0.017449
81,43036214,43022902,4050,0.014903
82,43022902,43010614,4100,0.01628
83,43010614,42997302,4150,0.017426
84,42997302,42985014,4200,0.018301
85,42985014,42971702,4250,0.015311
86,42971702,42958390,4300,0.016137
87,42958390,42946102,4350,0.018395
88,42946102,42932790,4400,0.016539
89,42932790,42920502,4450,0.015555
90,42920502,42907190,4500,0.015494
91,42907190,42893878,4550,0.017063
92,42893878,42881590,4600,0.016754
93,42881590,42868278,4650,0.015413
94,42868278,42855990,4700,0.016889
95,42855990,42842678,4750,0.018258
96,42842678,42830390,4800,0.017069
97,42830390,42817078,4850,0.015946
98,42817078,42803766,4900,0.015163
99,42803766,42791478,4950,0.017319
100,42791478,42778166,5000,0.017065
101,42778166,42765878,5050,0.017798
102,42765878,42752566,5100,0.014873
103,42752566,42739254,5150,0.015842
104,42739254,42726966,5200,0.014806
105,42726966,42713654,5250,0.017091
106,42713654,42701366,5300,0.016664
107,42701366,42688054,5350,0.016754
108,42688054,42674742,5400,0.015586
109,42674742,42662454,5450,0.016692
110,42662454,42649142,5500,0.01779
111,42649142,42636854,5550,0.018296
112,42636854,42623542,5600,0.016756
113,42623542,42610230,5650,0.015017
114,42610230,42597942,5700,0.015198
115,42597942,42584630,5750,0.022888
116,42584630,42572342,5800,0.017759
117,42572342,42559030,5850,0.016591
118,42559029,42545717,5900,0.014991
119,42545717,42533429,5950,0.016532
120,42533429,42520117,6000,0.015293
121,42520117,42507829,6050,0.016806
122,42507829,42494517,6100,0.015262
123,42494517,42481205,6150,0.017704
124,42481205,42468917,6200,0.016462
125,42468917,42455605,6250,0.017569
126,42455605,42443317,6300,0.017164
127,42443317,42430005,6350,0.019916
128,42430005,42416693,6400,0.017908
129,42416693,42404405,6450,0.017795
130,42404405,42391093,6500,0.015371
131,42391093,42378805,6550,0.018385
132,42378805,42365493,6600,0.016592
133,42365493,42352181,6650,0.016344
134,42352181,42339893,6700,0.016228
135,42339893,42326581,6750,0.021931
136,42326581,42314293,6800,0.021872
137,42314293,42300981,6850,0.016234
138,42300981,42287669,6900,0.016419
139,42287669,42275381,6950,0.021527
140,42275381,42262069,7000,0.015334
141,42262069,42249781,7050,0.020528
142,42249781,42236469,7100,0.016829
143,42236469,42223157,7150,0.019165
144,42223157,42210869,7200,0.019417
145,42210869,42197557,7250,0.019488
146,42197557,42185269,7300,0.025005
147,42185269,42171957,7350,0.016214
148,42171957,42159669,7400,0.021979
149,42159669,42146357,7450,0.017473
150,42146357,42133045,7500,0.018978
151,42133045,42120757,7550,0.021833
152,42120757,42107445,7600,0.016955
153,42107445,42095157,7650,0.01679
154,42095157,42081845,7700,0.015847
155,42081845,42068533,7750,0.015511
156,42068533,42056245,7800,0.017731
157,42056245,42042933,7850,0.017763
158,42042933,42030645,7900,0.016338
159,42030645,42017333,7950,0.016238
160,42017333,42005045,8000,0.016329
161,42005045,41991733,8050,0.016855
162,41991733,41978421,8100,0.017623
163,41978421,41966133,8150,0.016651
164,41966133,41952821,8200,0.017724
165,41952821,41940533,8250,0.018013
166,41940533,41927221,8300,0.017885
167,41927221,41913909,8350,0.01785
168,41913909,41901621,8400,0.017979
169,41901621,41888309,8450,0.017404
170,41888309,41876021,8500,0.017433
171,41876021,41862709,8550,0.017473
172,41862709,41849397,8600,0.017891
173,41849397,41837109,8650,0.01703
174,41837109,41823797,8700,0.018941
175,41823797,41811509,8750,0.021209
176,41811509,41798197,8800,0.017757
177,41798197,41785909,8850,0.015947
178,41785909,41772597,8900,0.017621
179,41772597,41759285,8950,0.017051
180,41759285,41746997,9000,0.017539
181,41746997,41733685,9050,0.016143
182,41733685,41721397,9100,0.017785
183,41721397,41708085,9150,0.016889
184,41708085,41694773,9200,0.01623
185,41694773,41682485,9250,0.015962
186,41682485,41669173,9300,0.019313
187,41669173,41656885,9350,0.015956
188,41656885,41643573,9400,0.015436
189,41643573,41630261,9450,0.015727
190,41630261,41617973,9500,0.017335
191,41617973,41604661,9550,0.018645
192,41604661,41592373,9600,0.016038
193,41592373,41579061,9650,0.018719
194,41579061,41565749,9700,0.018645
195,41565749,41553461,9750,0.019563
196,41553461,41540149,9800,0.022895
197,41540149,41527861,9850,0.019061
198,41527861,41514549,9900,0.023217
199,41514549,41501237,9950,0.019804
200,41501237,41488949,10000,0.016261
201,41488949,41488949,10050,6.2e-05
200,41488949,41488949,10000,6.5e-05
199,41488949,41488949,9950,7.8e-05
198,41488949,41488949,9900,9.4e-05
197,41488949,41488949,9850,0.000113
196,41488949,41488949,9800,0.000128
195,41488949,41488949,9750,0.000112
194,41488949,41488949,9700,8.2e-05
193,41488949,41488949,9650,8.8e-05
192,41488949,41488949,9600,8.7e-05
191,41488949,41488949,9550,9.9e-05
190,41488949,41488949,9500,0.000112
189,41488949,41488949,9450,7.2e-05
188,41488949,41488949,9400,0.000125
187,41488949,41488949,9350,9.4e-05
186,41488949,41488948,9300,6.9e-05
185,41488948,41488948,9250,0.000102
184,41488948,41488948,9200,0.000108
183,41488948,41488948,9150,7e-05
182,41488948,41488948,9100,7.6e-05
181,41488948,41488948,9050,0.000103
180,41488948,41488948,9000,6.3e-05
179,41488948,41488948,8950,8.1e-05
178,41488948,41488948,8900,8.2e-05
177,41488948,41488948,8850,6.9e-05
176,41488948,41488948,8800,7.8e-05
175,41488948,41488948,8750,0.000114
174,41488948,41488948,8700,0.000125
173,41488948,41488948,8650,6e-05
172,41488948,41488948,8600,7.8e-05
171,41488948,41488948,8550,6e-05
170,41488948,41488948,8500,6.1e-05
169,41488947,41488947,8450,6.7e-05
168,41488947,41488947,8400,6.9e-05
167,41488947,41488947,8350,0.000105
166,41488947,41488947,8300,6.9e-05
165,41488947,41488947,8250,7e-05
164,41488947,41488947,8200,6.5e-05
163,41488947,41488947,8150,5.6e-05
162,41488947,41488947,8100,7.5e-05
161,41488947,41488947,8050,9.4e-05
160,41488947,41488947,8000,7.9e-05
159,41488947,41488947,7950,7.3e-05
158,41488947,41488947,7900,8.6e-05
157,41488947,41488947,7850,9.1e-05
156,41488947,41488947,7800,9e-05
155,41488947,41488947,7750,8e-05
154,41488947,41488947,7700,7.5e-05
153,41488947,41488947,7650,7.5e-05
152,41488947,41488947,7600,5.9e-05
151,41488947,41488947,7550,6.8e-05
150,41488947,41488947,7500,8.4e-05
149,41488947,41488947,7450,7.9e-05
148,41488947,41488947,7400,8e-05
147,41488947,41488947,7350,8e-05
146,41488947,41488947,7300,8.2e-05
145,41488947,41488947,7250,6.8e-05
144,41488947,41488947,7200,8.3e-05
143,41488947,41488947,7150,8.2e-05
142,41488947,41488947,7100,8.3e-05
141,41488947,41488947,7050,9.7e-05
140,41488947,41488947,7000,7.3e-05
139,41488947,41488947,6950,0.000103
138,41488947,41488947,6900,8.1e-05
137,41488947,41488947,6850,6e-05
136,41488947,41488947,6800,7.3e-05
135,41488947,41488947,6750,9.1e-05
134,41488947,41488947,6700,7.1e-05
133,41488947,41488947,6650,9.5e-05
132,41488947,41488947,6600,7.7e-05
131,41488947,41488947,6550,6e-05
130,41488947,41488947,6500,5.7e-05
129,41488947,41488947,6450,5.6e-05
128,41488947,41488947,6400,8.1e-05
127,41488947,41488947,6350,7e-05
126,41488947,41488947,6300,6.9e-05
125,41488947,41488947,6250,8.5e-05
124,41488947,41488947,6200,7e-05
123,41488947,41488947,6150,9.3e-05
122,41488947,41488947,6100,6.7e-05
121,41488947,41488947,6050,8.9e-05
120,41488947,41488947,6000,0.000116
119,41488947,41488947,5950,7.4e-05
118,41488947,41488947,5900,7.9e-05
117,41488947,41488947,5850,8.2e-05
116,41488947,41488947,5800,6.9e-05
115,41488947,41488947,5750,0.000129
114,41488947,41488947,5700,0.0001
113,41488947,41488947,5650,6.8e-05
112,41488947,41488947,5600,7.9e-05
111,41488947,41488947,5550,7.7e-05
110,41488947,41488947,5500,9.2e-05
109,41488947,41488947,5450,6.3e-05
108,41488947,41488947,5400,9.2e-05
107,41488947,41488947,5350,6.6e-05
106,41488947,41488947,5300,6e-05
105,41488947,41488947,5250,8.3e-05
104,41488947,41488947,5200,8.6e-05
103,41488947,41488947,5150,8.2e-05
102,41488947,41488947,5100,8.3e-05
101,41488947,41488947,5050,7.2e-05
100,41488947,41488947,5000,6.6e-05
99,41488947,41488947,4950,9.6e-05
98,41488947,41488947,4900,6.6e-05
97,41488947,41488947,4850,6.4e-05
96,41488947,41488947,4800,6.3e-05
95,41488947,41488947,4750,6.3e-05
94,41488947,41488947,4700,9.1e-05
93,41488947,41488947,4650,8.8e-05
92,41488947,41488947,4600,0.000114
91,41488947,41488947,4550,0.000109
90,41488947,41488947,4500,0.0001
89,41488947,41488947,4450,0.000107
88,41488947,41488947,4400,6.9e-05
87,41488947,41488947,4350,8.2e-05
86,41488947,41488947,4300,8.2e-05
85,41488947,41488947,4250,6e-05
84,41488947,41488947,4200,5.5e-05
83,41488947,41488947,4150,8.8e-05
82,41488947,41488947,4100,8.6e-05
81,41488947,41488947,4050,7.3e-05
80,41488947,41488947,4000,7e-05
79,41488947,41488947,3950,5.9e-05
78,41488947,41488947,3900,6.4e-05
77,41488947,41488947,3850,6e-05
76,41488947,41488947,3800,8.5e-05
75,41488947,41488947,3750,9.3e-05
74,41488947,41488947,3700,0.000117
73,41488947,41488947,3650,7.5e-05
72,41488947,41488947,3600,8.5e-05
71,41488947,41488947,3550,7.2e-05
70,41488947,41488947,3500,5.8e-05
69,41488947,41488947,3450,7.8e-05
68,41488947,41488947,3400,7.3e-05
67,41488947,41488947,3350,8.3e-05
66,41488947,41488947,3300,6.9e-05
65,41488947,41488947,3250,7e-05
64,41488947,41488947,3200,7.5e-05
63,41488947,41488947,3150,8.1e-05
62,41488947,41488946,3100,8.5e-05
61,41488946,41488946,3050,7.6e-05
60,41488946,41488946,3000,0.000101
59,41488946,41488946,2950,7.6e-05
58,41488946,41488946,2900,9.5e-05
57,41488946,41488946,2850,8.9e-05
56,41488946,41488946,2800,9.3e-05
55,41488946,41488946,2750,7.7e-05
54,41488946,41488946,2700,8.1e-05
53,41488946,41488946,2650,7.7e-05
52,41488946,41488946,2600,6.9e-05
51,41488946,41488946,2550,7.9e-05
50,41488945,41488945,2500,8.3e-05
49,41488945,41488945,2450,6.5e-05
48,41488945,41488945,2400,6.4e-05
47,41488945,41488945,2350,8.5e-05
46,41488945,41488945,2300,9.4e-05
45,41488945,41488945,2250,6.6e-05
44,41488945,41488945,2200,6.7e-05
43,41488945,41488945,2150,8.1e-05
42,41488945,41488945,2100,7.5e-05
41,41488945,41488945,2050,9.9e-05
40,41488945,41488945,2000,8.9e-05
39,41488945,41488945,1950,8.4e-05
38,41488945,41488945,1900,8.3e-05
37,41488945,41488945,1850,6.6e-05
36,41488945,41488945,1800,8.4e-05
35,41488945,41488945,1750,9.6e-05
34,41488945,41488945,1700,7.5e-05
33,41488945,41488945,1650,0.000102
32,41488945,41488945,1600,6.7e-05
31,41488945,41488945,1550,7e-05
30,41488945,41488945,1500,9e-05
29,41488945,41488945,1450,7.2e-05
28,41488945,41488945,1400,7.8e-05
27,41488945,41488945,1350,8.2e-05
26,41488945,41488945,1300,6.7e-05
25,41488945,41488945,1250,6.8e-05
24,41488945,41488945,1200,7.3e-05
23,41488945,41488945,1150,9.4e-05
22,41488945,41488945,1100,9.7e-05
21,41488945,41488945,1050,6.8e-05
20,41488945,41488945,1000,7.1e-05
19,41488945,41488945,950,0.000107
18,41488945,41488945,900,6.8e-05
17,41488945,41488945,850,9.5e-05
16,41488945,41488945,800,6.5e-05
15,41488945,41488945,750,9.3e-05
14,41488945,41488945,700,7e-05
13,41488945,41488945,650,6.1e-05
12,41488945,41488945,600,7.5e-05
11,41488945,41488945,550,7.1e-05
10,41488945,41488945,500,7.2e-05
9,41488945,41488945,450,7.2e-05
8,41488945,41488945,400,6.4e-05
7,41488945,41488945,350,6.8e-05
6,41488945,41488945,300,6.4e-05
5,41488945,41488945,250,8.9e-05
4,41488945,41488945,200,9.5e-05
3,41488945,41488945,150,7.6e-05
2,41488945,41488945,100,6.9e-05
1,41488945,41488945,50,8.2e-05
